hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 89965 Stay Inn Ii,Kota Kinabalu,2.0,8.8,4 reviews,115074,Sabah,Malaysia,6222537,booking
SPOT ON 89989 Wispering Hotel,Johor Bahru,2.0,nan,nan,55317,Johor Bahru,Malaysia,6252286,booking
SPOT ON 89953 Marco Polos Kenyalang,Kuching,2.0,8.7,14 reviews,65275,Kuching,Malaysia,4792235,booking
Mendu Inn,Kuching,2.0,6.1,52 reviews,58600,Kuching,Malaysia,5252745,booking
SPOT ON 89630 Hilltop Room,Kuching,2.0,6.1,18 reviews,46428,Kuching,Malaysia,3822693,booking
OYO 1148 Kenyalang Suite,Miri,2.0,7.5,113 reviews,66343,Sarawak,Malaysia,5393361,booking
OYO 976 Dragon Inn,Miri,2.0,7.9,142 reviews,81874,Sarawak,Malaysia,5063706,booking
OYO 89465 Golden Lounge,Kuching,2.0,7.2,6 reviews,60847,Sarawak,Malaysia,5703633,booking
OYO 991 Mayfair Hotel,Kuching,2.0,7.5,122 reviews,74131,Sarawak,Malaysia,4892371,booking
OYO 44054 Holiday Mansion Inn,Sibu,2.0,8.2,54 reviews,81874,Sarawak,Malaysia,5447393,booking
OYO 89855 Salim Room,Sibu,2.0,8.3,21 reviews,51470,Sarawak,Malaysia,3230224,booking
OYO 89457 682 Lodge,Bintulu,2.0,7.9,21 reviews,59970,Sarawak,Malaysia,5703820,booking
OYO 1220 396 Home Sweet Home,Kuching,2.0,7.3,17 reviews,58754,Kuching,Malaysia,5281930,booking
OYO 979 Hua Kuok Inn,Kuching,2.0,7.8,155 reviews,61959,Sarawak,Malaysia,4952802,booking
OYO 44103 8 Hotel,Nilai,2.0,6.2,147 reviews,56430,Negeri Sembilan,Malaysia,1120128,booking
SPOT ON 89623 Nawawi's Backpackers,Rembau,2.0,8.3,3 reviews,54963,Negeri Sembilan,Malaysia,5854093,booking
OYO 210 Hotel Five 2,Kota Kinabalu,2.0,8.3,563 reviews,87404,Kota Kinabalu,Malaysia,1681181,booking
OYO 89398 Doorbellz,Kota Kinabalu,2.0,6.9,90 reviews,88516,Kota Kinabalu,Malaysia,4756519,booking
OYO 89932 Dd Homestay,Kota Kinabalu,2.0,8.7,9 reviews,60847,Kota Kinabalu,Malaysia,6212154,booking
OYO 89944 Stay Inn,Kota Kinabalu,2.0,6.0,8 reviews,81874,Kota Kinabalu,Malaysia,6222533,booking
OYO 89965 Stay Inn Ii,Kota Kinabalu,2.0,8.8,4 reviews,115074,Kota Kinabalu,Malaysia,6222537,booking
SPOT ON 89625 Bilton Inn,Kota Kinabalu,2.0,5.6,58 reviews,66605,Kota Kinabalu,Malaysia,378357,booking
OYO 216 La Viva Hotel,Kota Kinabalu,2.0,6.7,384 reviews,81874,Kota Kinabalu,Malaysia,2142692,booking
OYO 89482 Hotel Casero Inn,Kota Kinabalu,2.0,6.5,18 reviews,68601,Kota Kinabalu,Malaysia,5703731,booking
SPOT ON 89906 Kendong Village Resort,Rembau,2.0,nan,nan,74131,Negeri Sembilan,Malaysia,6160337,booking
OYO 44017 L & C Premium Stay,Kuching,2.0,6.8,182 reviews,54304,Kuching,Malaysia,570499,booking
OYO 89465 Golden Lounge,Kuching,2.0,7.2,6 reviews,60847,Kuching,Malaysia,5703633,booking
SPOT ON 89904 Marco Polo's,Kuching,2.0,8.9,181 reviews,48675,Kuching,Malaysia,346072,booking
OYO 89810 In@hotel Taman Gaya,Johor Bahru,2.0,6.5,7 reviews,77446,Johor Bahru,Malaysia,6020264,booking
OYO 1125 IR Inn Hotel,Johor Bahru,2.0,6.3,44 reviews,78952,Johor Bahru,Malaysia,5179152,booking
SPOT ON 89644 Retto Hotel,Skudai,2.0,4.3,31 reviews,40140,Johor Bahru,Malaysia,1630622,booking
OYO V3 Hotel Nusajaya,Nusajaya,2.0,7.5,77 reviews,75636,Johor Bahru,Malaysia,1467177,booking
OYO 588 The Fern Lodge,Skudai,2.0,7.6,353 reviews,77752,Johor Bahru,Malaysia,470274,booking
OYO 89423 Zenz Hotel,Kulai,2.0,8.1,173 reviews,89618,Johor Bahru,Malaysia,2563877,booking
SPOT ON 89893 Vintage Inn,Kampong Morten,2.0,8.1,414 reviews,43102,Malacca,Malaysia,1390611,booking
SPOT ON 89625 Bilton Inn,Kota Kinabalu,2.0,5.6,58 reviews,66605,Sabah,Malaysia,378357,booking
OYO 216 La Viva Hotel,Kota Kinabalu,2.0,6.7,384 reviews,81874,Sabah,Malaysia,2142692,booking
OYO 89537 Fairy Garden Resort,Ranau,2.0,6.6,69 reviews,77626,Sabah,Malaysia,5707480,booking
