hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
ZEN Premium Padma 2 Legian,"Padma, Legian",3.0,nan,nan,222891,Bali,Indonesia,1973194,booking
OYO 1638 Cityzen Renon Hotel,"Renon, Denpasar",2.0,7.9,70 reviews,51722,Bali,Indonesia,419476,booking
OYO 922 PP Dream Residence,Lovina,2.0,7.7,75 reviews,51990,Bali,Indonesia,1683818,booking
OYO 1610 Chendana Residence,Sanur,2.0,6.7,43 reviews,38615,Bali,Indonesia,4555326,booking
OYO 2702 Arimanu Residence,Kuta,2.0,7.8,13 reviews,42971,Bali,Indonesia,6016237,booking
OYO 1372 Yandra Residence,"Padonan, Canggu",2.0,7.1,74 reviews,45930,Bali,Indonesia,3965674,booking
OYO 2607 Men Bebas Residence,Ubud,2.0,nan,nan,46901,Bali,Indonesia,6007006,booking
OYO 1445 Jimbaran 12 Residence,"Jimbaran Bay, Jimbaran",2.0,8.4,207 reviews,34630,Bali,Indonesia,5529437,booking
OYO 2143 Leluhur Bali Apartment,Seminyak,2.0,8.1,65 reviews,43776,Bali,Indonesia,1947817,booking
OYO 785 Van Mandri Residence,Kerobokan,2.0,6.0,8 reviews,51989,Bali,Indonesia,448692,booking
ZEN Premium Uluwatu Complex,"Pecatu, Uluwatu",5.0,7.6,54 reviews,214319,Bali,Indonesia,2037407,booking
OYO 1489 Simona Hotel,"Padonan, Canggu",2.0,8.3,167 reviews,44964,Bali,Indonesia,2777981,booking
OYO 2548 Rasa Sayang Inn,"Tanjung Benoa, Nusa Dua",2.0,7.6,41 reviews,42641,Bali,Indonesia,394692,booking
ZEN Rooms Uluwatu GWK,"Bukit, Jimbaran",3.0,6.9,3 reviews,150023,Bali,Indonesia,1598924,booking
OYO 2438 D' Tamblingan Residence,"Taman Griya, Jimbaran",2.0,7.4,7 reviews,44037,Bali,Indonesia,5960115,booking
OYO 2417 Panen House,"Sunset Road, Seminyak",2.0,8.4,7 reviews,53235,Bali,Indonesia,476490,booking
OYO 401 The Frog Homestay Sanur,"Sanur Beach, Sanur",2.0,9.0,185 reviews,82572,Bali,Indonesia,4603123,booking
OYO 2166 Elitya Stay,Sanur,2.0,nan,nan,72796,Bali,Indonesia,5258757,booking
OYO 1840 Kubu Ubud Hotel,Ubud,2.0,8.0,57 reviews,43731,Bali,Indonesia,1884262,booking
OYO 3191 Samana Residence Denpasar,"Renon, Denpasar",2.0,nan,nan,51116,Bali,Indonesia,6295511,booking
ZEN Rooms Raya Kuta 3,"Raya Kuta, Kuta",4.0,nan,nan,171455,Bali,Indonesia,1896310,booking
OYO 1254 Sekar Arum Residence,Tanah Lot,2.0,8.1,194 reviews,102231,Bali,Indonesia,2256856,booking
OYO 2008 Sellinas Family Residence Syariah,"Catur Tunggal, Yogyakarta",2.0,7.9,17 reviews,34889,Yogyakarta,Indonesia,5788623,booking
ZEN Rooms near Batu Bolong Canggu,"Batu Bolong, Canggu",2.0,8.9,12 reviews,96443,Bali,Indonesia,2121162,booking
OYO 3174 Ge They Wira Residence,Denpasar,2.0,nan,nan,126754,Bali,Indonesia,6292669,booking
RedDoorz near Teuku Umar Barat,Denpasar,nan,7.5,10 reviews,41440,Bali,Indonesia,4663865,booking
OYO 1654 Maha Bharata Kuta Inn,"Legian City-Centre, Legian",2.0,6.1,20 reviews,30189,Bali,Indonesia,2078544,booking
OYO 1992 China Town Hotel Bali,"Tuban, Kuta",2.0,8.2,130 reviews,182886,Bali,Indonesia,5577208,booking
ZEN Rooms Legian Troppozone Thematic,"Legian City-Centre, Legian",3.0,5.1,3 reviews,96443,Bali,Indonesia,1893049,booking
ZEN Rooms by pass Ngurah Rai Suwung,Kuta,4.0,6.5,4 reviews,167169,Bali,Indonesia,2030330,booking
ZEN Rooms Hang Tuah Sanur,"Sanur Beach, Sanur",3.0,6.7,10 reviews,235751,Bali,Indonesia,1889691,booking
OYO 734 Tuban Torres Accomodation,"Tuban, Kuta",2.0,7.7,225 reviews,74970,Bali,Indonesia,4229177,booking
OYO 3264 Bukit Kembar Ecotourism,Munduk,2.0,7.0,262 reviews,58259,Bali,Indonesia,1166459,booking
OYO 1198 Kulkul Bungalow,Nusa Penida,2.0,8.4,231 reviews,133697,Bali,Indonesia,2028458,booking
OYO 2184 Nan Berlian Inn,Legian,2.0,3.1,6 reviews,38172,Bali,Indonesia,5641282,booking
OYO 3427 Griya Wika,Denpasar,2.0,nan,nan,117199,Bali,Indonesia,6381278,booking
RedDoorz near Legian Street,"Legian City-Centre, Legian",2.0,8.0,63 reviews,70349,Bali,Indonesia,3456568,booking
RedDoorz Premium @ Raya Nginden,"Sukolilo, Surabaya",3.0,7.8,89 reviews,74766,Surabaya,Indonesia,3654899,booking
