hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 807 Suan​ Dok​ Kaew​ Hotel​,Chiang Mai,2.0,nan,nan,63969,Chiang Mai,Thailand,6285682,booking
OYO 240 Ketawa Pet Friendly Hotel Chiangmai,"Chang Moi, Chiang Mai",4.0,9.1,57 reviews,98008,Chiang Mai,Thailand,257362,booking
OYO 891 Wiangchomphu,Chiang Mai,2.0,nan,nan,51829,Chiang Mai,Thailand,6373415,booking
OYO 768 First Station Hotel,"Si Phum, Chiang Mai",2.0,8.0,170 reviews,67083,Chiang Mai,Thailand,1366818,booking
OYO 673 Nice Sleep Box Hotel,"Chang Moi, Chiang Mai",2.0,8.6,259 reviews,58419,Chiang Mai,Thailand,2180294,booking
OYO 856 Chunapa Resort And Spa,"Chang Phueak, Chiang Mai",2.0,nan,nan,51952,Chiang Mai,Thailand,6363918,booking
OYO 571 La Bhu Salah,Chiang Mai,2.0,nan,nan,67083,Chiang Mai,Thailand,6009864,booking
OYO 928 Leaf Hostel,"Nimmanhaemin, Chiang Mai",2.0,9.1,119 reviews,70974,Chiang Mai,Thailand,3149021,booking
OYO 304 Seven Suns Residence,"Phra Sing, Chiang Mai",2.0,8.6,14 reviews,120979,Chiang Mai,Thailand,5549519,booking
OYO 794 Nice Mum Lodge,"Chang Khlan, Chiang Mai",2.0,7.2,18 reviews,65831,Chiang Mai,Thailand,364295,booking
OYO 788 Galare Guest House,"Chang Moi, Chiang Mai",2.0,8.6,182 reviews,115183,Chiang Mai,Thailand,255064,booking
OYO Hai Hostel,"Si Phum, Chiang Mai",2.0,9.2,335 reviews,87658,Chiang Mai,Thailand,4686029,booking
OYO 495 Baan Lanna Walking Street,"Si Phum, Chiang Mai",2.0,7.0,101 reviews,50927,Chiang Mai,Thailand,744005,booking
ZEN Rooms Don Chan,"Tha Sala, Chiang Mai",2.0,6.9,7 reviews,104225,Chiang Mai,Thailand,1858386,booking
OYO 391 Pat's Klangviang Guesthouse,"Phra Sing, Chiang Mai",3.0,8.5,80 reviews,69723,Chiang Mai,Thailand,351467,booking
OYO 412 Seven Days Hotel,"Wat Ket, Chiang Mai",3.0,7.1,41 reviews,50974,Chiang Mai,Thailand,5733327,booking
OYO 131 Griebs Inn,Pattaya South,2.0,7.2,61 reviews,74418,Pattaya,Thailand,4427766,booking
OYO 448 Jan's Guest House,Pattaya Central,nan,3.1,4 reviews,73488,Pattaya,Thailand,5789014,booking
OYO 520 Pattaya Cantina,Pattaya South,2.0,7.5,45 reviews,73229,Pattaya,Thailand,4299872,booking
OYO 429 Billabong Resort Cha Am,Ban Phu Wai,3.0,8.3,3 reviews,63987,Hua Hin,Thailand,5760686,booking
OYO Tanfa Resort,Cha Am,3.0,9.4,4 reviews,65983,Hua Hin,Thailand,5954380,booking
OYO 570 Seaside Hua Hin,Khao Tao,3.0,6.5,4 reviews,58244,Hua Hin,Thailand,1405363,booking
OYO 242 Baan Noppadol Hua Hin Resort,Hua Hin,3.0,8.6,52 reviews,173579,Hua Hin,Thailand,1279426,booking
OYO 751 Vandee Guesthouse,Hua Hin,2.0,nan,nan,89679,Hua Hin,Thailand,6270654,booking
OYO 607 Nawang Resort,Hua Hin,3.0,nan,nan,71152,Hua Hin,Thailand,5974490,booking
OYO 897 Ansu Hotel,"Hua Hin Night Market, Hua Hin",2.0,7.6,369 reviews,72896,Hua Hin,Thailand,1429105,booking
OYO 269 Eyeda Vintage Guest House Huahin,Hua Hin,2.0,7.3,26 reviews,73172,Hua Hin,Thailand,5489387,booking
OYO 382 Baan Poemsuk,Hua Hin,3.0,8.2,7 reviews,86780,Hua Hin,Thailand,5703998,booking
OYO 785 Baan Pak Rim Nam,Hua Hin,2.0,nan,nan,58244,Hua Hin,Thailand,6270793,booking
OYO 330 Venus Resort Pranburi,Hua Hin,3.0,7.2,9 reviews,68880,Hua Hin,Thailand,5622768,booking
OYO 447 Royal Express Hua Hin,Hua Hin,3.0,6.5,38 reviews,65714,Hua Hin,Thailand,358384,booking
OYO 314 The Space Huahin,Hua Hin,3.0,7.1,188 reviews,62763,Hua Hin,Thailand,3804836,booking
OYO 481 Baan Kai Na,Hua Hin,3.0,8.4,154 reviews,63688,Hua Hin,Thailand,1760953,booking
OYO 266 Baanloksouylokchay,Hua Hin,3.0,7.6,91 reviews,61229,Hua Hin,Thailand,255789,booking
OYO 650 At Night Pranburi,Pran Buri,2.0,8.4,4 reviews,69677,Hua Hin,Thailand,6144186,booking
OYO 603 Thongsuk Mini Resort,Ban Nong Ban Kao,2.0,9.0,39 reviews,45622,Hua Hin,Thailand,2575892,booking
OYO Phasuk Hotel,Pran Buri,2.0,6.9,7 reviews,54744,Hua Hin,Thailand,5989762,booking
Pattaraporn Hotel,Pran Buri,1.0,nan,nan,51518,Hua Hin,Thailand,5877315,booking
OYO 627 Sai Thai Garden Home Travel,Ao Nang Beach,2.0,nan,nan,61107,Krabi,Thailand,248095,booking
OYO 385 Aonang President Hotel,Ao Nang Beach,3.0,7.6,206 reviews,93518,Krabi,Thailand,260817,booking
OYO 340 Ahad Suite Ao Nang Hotel,Ao Nang Beach,3.0,8.1,232 reviews,125550,Krabi,Thailand,3920634,booking
OYO 443 Little Home Ao Nang,Ao Nang Beach,2.0,8.3,304 reviews,58244,Krabi,Thailand,1278758,booking
OYO 902 Life​ &​ Love​ Resort,Ao Nang Beach,2.0,7.8,94 reviews,67318,Krabi,Thailand,1275966,booking
OYO 268 Paradee Resort Hua-hin,Hua Hin,3.0,8.7,56 reviews,140781,Khon Khan,Thailand,1003785,booking
CAPITAL O 804 Greenway Hua Hin Resort,Hua Hin,4.0,nan,nan,195560,Khon Khan,Thailand,1326884,booking
OYO 119 Baan Noppadol Hua Hin Loft,Hua Hin,3.0,9.0,58 reviews,139148,Hua Hin,Thailand,4129707,booking
OYO 446 Get Link Hip Hotel,Hua Hin,2.0,5.3,6 reviews,60416,Khon Khan,Thailand,626793,booking
OYO 269 Eyeda Vintage Guest House Huahin,Hua Hin,2.0,7.3,26 reviews,73172,Khon Khan,Thailand,5489387,booking
OYO 242 Baan Noppadol Hua Hin Resort,Hua Hin,3.0,8.6,52 reviews,173579,Khon Khan,Thailand,1279426,booking
OYO 314 The Space Huahin,Hua Hin,3.0,7.1,188 reviews,62763,Khon Khan,Thailand,3804836,booking
OYO 382 Baan Poemsuk,Hua Hin,3.0,8.2,7 reviews,86780,Khon Khan,Thailand,5703998,booking
OYO Baan Taklom Chomtalay,Phetchaburi,3.0,nan,nan,58934,Hua Hin,Thailand,5989821,booking
OYO 884 Baan Sang Chan Cha-am,Cha Am,2.0,7.9,53 reviews,109592,Hua Hin,Thailand,282547,booking
OYO Baanbali Beach Resort,"Pak Nam Pran, Pran Buri",2.0,nan,nan,141041,Hua Hin,Thailand,311827,booking
OYO 266 Baanloksouylokchay,Hua Hin,3.0,7.6,91 reviews,61229,Khon Khan,Thailand,255789,booking
OYO The Tama Hotel,Ao Nam Mao,4.0,8.5,164 reviews,114468,Krabi,Thailand,1178965,booking
OYO 268 Paradee Resort Hua-hin,Hua Hin,3.0,8.7,56 reviews,140781,Hua Hin,Thailand,1003785,booking
OYO 354 Ton Hom Resort & Villa,Hua Hin,3.0,6.7,20 reviews,58244,Hua Hin,Thailand,1939789,booking
OYO 330 Venus Resort Pranburi,Hua Hin,3.0,7.2,9 reviews,68880,Khon Khan,Thailand,5622768,booking
OYO 785 Baan Pak Rim Nam,Hua Hin,2.0,nan,nan,58244,Khon Khan,Thailand,6270793,booking
OYO 603 Thongsuk Mini Resort,Ban Nong Ban Kao,2.0,9.0,39 reviews,45622,Khon Khan,Thailand,2575892,booking
Pattaraporn Hotel,Pran Buri,1.0,nan,nan,51518,Khon Khan,Thailand,5877315,booking
OYO Phasuk Hotel,Pran Buri,2.0,6.9,7 reviews,54744,Khon Khan,Thailand,5989762,booking
OYO 650 At Night Pranburi,Pran Buri,2.0,8.4,4 reviews,69677,Khon Khan,Thailand,6144186,booking
OYO 607 Nawang Resort,Hua Hin,3.0,nan,nan,71152,Khon Khan,Thailand,5974490,booking
OYO Tanfa Resort,Cha Am,3.0,9.4,4 reviews,65983,Khon Khan,Thailand,5954380,booking
OYO 429 Billabong Resort Cha Am,Ban Phu Wai,3.0,8.3,3 reviews,63987,Khon Khan,Thailand,5760686,booking
OYO 570 Seaside Hua Hin,Khao Tao,3.0,6.5,4 reviews,58244,Khon Khan,Thailand,1405363,booking
OYO 321 Country Place Hua Hin,Hua Hin,3.0,7.6,16 reviews,49862,Khon Khan,Thailand,4222744,booking
OYO 227 Suchaya House,Hua Hin,3.0,7.8,532 reviews,52771,Khon Khan,Thailand,333175,booking
OYO 897 Ansu Hotel,"Hua Hin Night Market, Hua Hin",2.0,7.6,369 reviews,72896,Khon Khan,Thailand,1429105,booking
OYO 354 Ton Hom Resort & Villa,Hua Hin,3.0,6.7,20 reviews,58244,Khon Khan,Thailand,1939789,booking
OYO 342 Baan Ta Yai Hua Hin Beach,"Hua Hin Night Market, Hua Hin",3.0,7.7,80 reviews,87512,Khon Khan,Thailand,3127190,booking
OYO 884 Baan Sang Chan Cha-am,Cha Am,2.0,7.9,53 reviews,109592,Khon Khan,Thailand,282547,booking
OYO Baanbali Beach Resort,"Pak Nam Pran, Pran Buri",2.0,nan,nan,141041,Khon Khan,Thailand,311827,booking
OYO 751 Vandee Guesthouse,Hua Hin,2.0,nan,nan,89679,Khon Khan,Thailand,6270654,booking
OYO 463 Tycoon Place,Pattaya South,3.0,7.0,91 reviews,79962,Pattaya,Thailand,5788866,booking
OYO 446 Get Link Hip Hotel,Hua Hin,2.0,5.3,6 reviews,60416,Hua Hin,Thailand,626793,booking
OYO 342 Baan Ta Yai Hua Hin Beach,"Hua Hin Night Market, Hua Hin",3.0,7.7,80 reviews,87512,Hua Hin,Thailand,3127190,booking
OYO 227 Suchaya House,Hua Hin,3.0,7.8,532 reviews,52771,Hua Hin,Thailand,333175,booking
OYO 450 Rawai Studios Resort,Rawai Beach,3.0,8.9,40 reviews,81121,Phuket,Thailand,5793354,booking
OYO 263 Journey Residence,Bang Tao Beach,nan,8.9,36 reviews,94929,Phuket,Thailand,3776574,booking
OYO 259 Baan Napatr,Bang Tao Beach,2.0,8.6,57 reviews,82511,Phuket,Thailand,4231875,booking
Thai Palace Resort,Rawai Beach,3.0,8.6,532 reviews,219367,Phuket,Thailand,345080,booking
OYO 321 Country Place Hua Hin,Hua Hin,3.0,7.6,16 reviews,49862,Hua Hin,Thailand,4222744,booking
OYO 503 Phuket Numnoi,Bang Tao Beach,3.0,9.4,64 reviews,80342,Phuket,Thailand,4321841,booking
OYO 305 Nada Place,Bang Tao Beach,3.0,7.3,15 reviews,90645,Phuket,Thailand,5549892,booking
OYO 789 Andaman Place@Baandon,Thalang,2.0,nan,nan,74501,Phuket,Thailand,6270805,booking
OYO Tina Boutique Resort,Ban Muang Mai,2.0,nan,nan,71941,Phuket,Thailand,4734142,booking
OYO 481 Baan Kai Na,Hua Hin,3.0,8.4,154 reviews,63688,Khon Khan,Thailand,1760953,booking
OYO 447 Royal Express Hua Hin,Hua Hin,3.0,6.5,38 reviews,65714,Khon Khan,Thailand,358384,booking
OYO 119 Baan Noppadol Hua Hin Loft,Hua Hin,3.0,9.0,58 reviews,139148,Khon Khan,Thailand,4129707,booking
OYO 357 Sleep Easy On Nineteen,Pattaya Central,2.0,7.6,104 reviews,73716,Pattaya,Thailand,5649181,booking
OYO 358 Rattana Residence Thalang,Thalang,2.0,8.3,104 reviews,73014,Phuket,Thailand,434320,booking
OYO Marina House,Krabi town,2.0,nan,nan,67405,Krabi,Thailand,5989975,booking
CAPITAL O 804 Greenway Hua Hin Resort,Hua Hin,4.0,nan,nan,195560,Hua Hin,Thailand,1326884,booking
OYO 436 Pf Resort,Nong Prue,3.0,7.9,4 reviews,74137,Pattaya,Thailand,5760501,booking
OYO Presley Guesthouse Patong,"Nanai Road, Patong Beach",2.0,8.0,272 reviews,61229,Phuket,Thailand,353482,booking
OYO The Hostel Phuket,Patong Beach,2.0,nan,nan,59122,Phuket,Thailand,5494557,booking
OYO 229 Art Mansion,Patong Beach,3.0,8.4,76 reviews,117788,Phuket,Thailand,368433,booking
OYO 320 Regent 2002 Guest House,Patong Beach,3.0,8.1,91 reviews,75618,Phuket,Thailand,2024136,booking
OYO 345 The Click Guesthouse at Chalong,Rawai Beach,2.0,7.8,31 reviews,80342,Phuket,Thailand,505774,booking
