hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
Linh Dan Bungalow,"Duong Dong, Phu Quoc",nan,8.6,22 reviews,51080,Phu Quoc,Vietnam,4512813,booking
OYO 1009 Capella Hotel,"Duong To, Phu Quoc",nan,9.1,12 reviews,36614,Phu Quoc,Vietnam,4622137,booking
SPOT ON 737 Plus Hotel Phu Quoc,"Duong To, Phu Quoc",2.0,8.3,54 reviews,48711,Phu Quoc,Vietnam,5335946,booking
OYO 312 Ori Hotel,"Duong Dong, Phu Quoc",2.0,8.9,119 reviews,65959,Phu Quoc,Vietnam,4264083,booking
OYO 390 Hoa Cat Hotel,"Duong Dong, Phu Quoc",2.0,7.7,70 reviews,43487,Phu Quoc,Vietnam,2827526,booking
OYO 326 Kim Ngoc Pq Hotel,"Duong To, Phu Quoc",2.0,8.9,70 reviews,59820,Phu Quoc,Vietnam,5541667,booking
Home4all,"Binh Thanh, Ho Chi Minh City",2.0,6.8,117 reviews,47434,Ho Chi Minh,Vietnam,3871238,booking
OYO 159 Ruby Hotel,Vung Tau,2.0,8.8,293 reviews,49111,Vung tau,Vietnam,2921518,booking
OYO 167 Minh Hai 2 Hotel,Vung Tau,2.0,8.9,144 reviews,64032,Vung tau,Vietnam,4669677,booking
OYO 185 Marine Hotel & Apartment,Vung Tau,2.0,8.9,299 reviews,60142,Vung tau,Vietnam,4523786,booking
OYO 522 Acasa Hotel,Vung Tau,2.0,7.6,95 reviews,48877,Vung tau,Vietnam,4410742,booking
OYO 394 Camy Hotel,Vung Tau,2.0,9.4,262 reviews,73957,Vung tau,Vietnam,3889368,booking
Tan Truong An Hotel,Vung Tau,nan,6.9,13 reviews,49319,Vung tau,Vietnam,1356655,booking
OYO 1008 Lien Thuy Hotel,Vung Tau,nan,8.1,121 reviews,56801,Vung tau,Vietnam,4639140,booking
OYO 674 Star Motel,Vung Tau,2.0,9.1,39 reviews,62187,Vung tau,Vietnam,4584165,booking
OYO 482 Green Garden Hotel,Vung Tau,1.0,8.6,57 reviews,41972,Vung tau,Vietnam,4803317,booking
OYO 720 Glenda Hotel,Hue,3.0,8.2,271 reviews,50997,Hue,Vietnam,868515,booking
Ben Homestay,Hue,3.0,8.9,18 reviews,60385,Hue,Vietnam,5970150,booking
CAPITAL O1078 Sun & Sea Resort Hue,Thôn Thái Dương Hạ,4.0,8.4,9 reviews,123237,Hue,Vietnam,5529046,booking
Mimosa Fiori Hotel,Hue,2.0,7.4,10 reviews,33827,Hue,Vietnam,6030442,booking
OYO 977 Minh Duc Guest House,Hue,2.0,nan,nan,43433,Hue,Vietnam,6280180,booking
OYO 852 Nam Ngoc Hotel,"Xuan Huong Lake, Da Lat",1.0,7.8,123 reviews,42489,Dalat,Vietnam,2663218,booking
RedDoorz near Da Lat University 2,Da Lat,2.0,nan,nan,94532,Dalat,Vietnam,5178851,booking
OYO 841 Thao Linh Hotel,Da Lat,nan,8.7,26 reviews,46420,Dalat,Vietnam,5950503,booking
OYO 728 Thy Thy Hotel,Da Lat,2.0,9.3,35 reviews,62676,Dalat,Vietnam,5980029,booking
OYO 502 Quynh Mai Resort,"Duong Dong, Phu Quoc",3.0,9.0,68 reviews,87699,Phu Quoc,Vietnam,4141101,booking
OYO 323 VINH PHONG 2 HOTEL,"Duong Dong, Phu Quoc",2.0,nan,nan,156904,Phu Quoc,Vietnam,5607392,booking
OYO 687 Colorful Home Stay,"Duong Dong, Phu Quoc",1.0,9.3,7 reviews,42622,Phu Quoc,Vietnam,5427803,booking
OYO 584 Nang Bali Bungalow,"Duong Dong, Phu Quoc",2.0,7.8,31 reviews,93740,Phu Quoc,Vietnam,5538265,booking
OYO 614 Phu Quy Resort,"Duong To, Phu Quoc",2.0,7.0,120 reviews,60570,Phu Quoc,Vietnam,1850241,booking
Mayfair Valley,"Ong Lang, Phu Quoc",2.0,8.2,58 reviews,65098,Phu Quoc,Vietnam,1610954,booking
OYO 526 Hoàng Đạt Hotel,"Phu Nhuan, Ho Chi Minh City",2.0,7.0,10 reviews,53535,Ho Chi Minh,Vietnam,1271242,booking
OYO 606 SG Central Hostel,"District 1, Ho Chi Minh City",2.0,7.9,186 reviews,68753,Ho Chi Minh,Vietnam,439452,booking
OYO 334 Milan Hotel,Ho Chi Minh City,2.0,8.3,81 reviews,72165,Ho Chi Minh,Vietnam,5594383,booking
RedDoorz Plus near Gia Dinh International Hospital 2,"Binh Thanh, Ho Chi Minh City",3.0,8.4,70 reviews,87509,Ho Chi Minh,Vietnam,4303091,booking
RedDoorz Plus near Hoang Van Thu Park 2,"Phu Nhuan, Ho Chi Minh City",3.0,7.5,157 reviews,84187,Ho Chi Minh,Vietnam,4342574,booking
RedDoorz near Saigon Hi-Tech Park,"District 9, Ho Chi Minh City",2.0,7.6,11 reviews,68054,Ho Chi Minh,Vietnam,5625954,booking
RedDoorz Plus @ Tran Quang Khai Street,"District 1, Ho Chi Minh City",3.0,8.0,75 reviews,84532,Ho Chi Minh,Vietnam,5281874,booking
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",3.0,7.1,87 reviews,82716,Ho Chi Minh,Vietnam,4084957,booking
RedDoorz Plus near Tan Son Nhat Airport 2,"Tan Binh, Ho Chi Minh City",3.0,8.2,175 reviews,107316,Ho Chi Minh,Vietnam,4067193,booking
RedDoorz Plus @ Quang Trung Street,"Go Vap District , Ho Chi Minh City",2.0,7.9,96 reviews,61233,Ho Chi Minh,Vietnam,1611751,booking
OYO 245 Amura Hotel,"District 7, Ho Chi Minh City",2.0,8.1,171 reviews,37772,Ho Chi Minh,Vietnam,2062620,booking
OYO 882 Lucky Hotel,Hue,2.0,7.5,11 reviews,41712,Hue,Vietnam,6094640,booking
RedDoorz @ Nguyen Kiem Street,"Phu Nhuan, Ho Chi Minh City",3.0,7.6,154 reviews,50258,Ho Chi Minh,Vietnam,2121074,booking
OYO 254 Idea Homestay,"Tan Binh, Ho Chi Minh City",2.0,8.4,180 reviews,62889,Ho Chi Minh,Vietnam,4357857,booking
OYO 406 Cao Son Hotel,"Phu Nhuan, Ho Chi Minh City",2.0,6.3,30 reviews,49998,Ho Chi Minh,Vietnam,4171436,booking
OYO 671 EZ'S House Hotel,Ấp Ða Thành,2.0,9.1,5 reviews,41172,Dalat,Vietnam,5916362,booking
Huong Moc Hotel - Near Dalat Night Market,Da Lat,2.0,8.8,29 reviews,61030,Dalat,Vietnam,4796569,booking
OYO 707 Dalater Hotel,"Xuan Huong Lake, Da Lat",1.0,nan,nan,65520,Dalat,Vietnam,5592814,booking
OYO 608 Gaia House Dalat,Da Lat,nan,7.7,10 reviews,39477,Dalat,Vietnam,5610467,booking
OYO 592 An Nhiên Hotel &cafe,Da Lat,3.0,8.7,10 reviews,37812,Dalat,Vietnam,5877228,booking
OYO 299 Khanh An Hotel,"District 9, Ho Chi Minh City",1.0,7.1,14 reviews,66197,Ho Chi Minh,Vietnam,3248888,booking
OYO 486 Nhat Nhat Hotel,"District 10, Ho Chi Minh City",2.0,7.1,15 reviews,63486,Ho Chi Minh,Vietnam,5832564,booking
OYO 483 MYTI,"Dong Da, Hanoi",2.0,8.4,60 reviews,81959,Hanoi,Vietnam,5765530,booking
Van Thanh Dat Hotel,"District 12, Ho Chi Minh City",1.0,5.8,4 reviews,42320,Ho Chi Minh,Vietnam,5943113,booking
RedDoorz near Vietnam France Hospital,"Dong Da, Hanoi",2.0,7.2,8 reviews,84532,Hanoi,Vietnam,5707337,booking
Park Homes Service Apartment 2,Hanoi,3.0,nan,nan,91076,Hanoi,Vietnam,6012529,booking
RedDoorz Plus near Cau Giay Park,"Cau Giay, Hanoi",3.0,8.0,69 reviews,91563,Hanoi,Vietnam,5346307,booking
OYO 279 West Lake Hotel,"Tay Ho, Hanoi",2.0,6.7,56 reviews,89328,Hanoi,Vietnam,3464341,booking
OYO 668 New Amely hotel,Hanoi,3.0,7.9,23 reviews,70763,Hanoi,Vietnam,1788012,booking
SPOT ON 801 Lang Chai 162,Phan Thiet,2.0,5.0,6 reviews,32149,Phan Thiet,Vietnam,6017341,booking
RedDoorz Plus near Van Mieu Quoc Tu Giam,"Dong Da, Hanoi",3.0,7.5,133 reviews,94694,Hanoi,Vietnam,5242318,booking
RedDoorz @ Hoang Cau Street,"Dong Da, Hanoi",3.0,8.2,48 reviews,136987,Hanoi,Vietnam,4219648,booking
OYO 779 Aisha Hotel And Apartment,"Tay Ho, Hanoi",3.0,7.8,145 reviews,110550,Hanoi,Vietnam,2681659,booking
RedDoorz near Giap Bat,"Thanh Xuan, Hanoi",3.0,9.1,7 reviews,98264,Hanoi,Vietnam,2353909,booking
RedDoorz near My Dinh Bus Station,Hanoi,3.0,7.3,55 reviews,89585,Hanoi,Vietnam,1352280,booking
Hoa Quynh Guesthouse spot On,"Cau Giay, Hanoi",2.0,nan,nan,53581,Hanoi,Vietnam,5979521,booking
RedDoorz near Hanoi Railway Station,"Dong Da, Hanoi",3.0,7.3,58 reviews,87462,Hanoi,Vietnam,2973602,booking
SPOT ON 693 Hoang Long Hotel,Hanoi,1.0,7.4,8 reviews,28195,Hanoi,Vietnam,843698,booking
OYO 173 The Dream House,Nha Trang,2.0,8.7,232 reviews,38228,Nha Trang,Vietnam,3490938,booking
OYO 381 Tuyet Mai Hotel,"Nha Trang Beach, Nha Trang",2.0,7.7,38 reviews,55944,Nha Trang,Vietnam,555877,booking
OYO 456 May Hotel,"Nha Trang Beach, Nha Trang",3.0,8.8,210 reviews,57458,Nha Trang,Vietnam,4496382,booking
OYO 349 Thuan Buom Phat Hotel,Nha Trang,2.0,8.2,29 reviews,38903,Nha Trang,Vietnam,5082543,booking
OYO 363 Viet An Hotel Nha Trang,"Pham Van Dong Beach, Nha Trang",2.0,9.3,70 reviews,40188,Nha Trang,Vietnam,4967439,booking
Ngan Ha Hotel,"Hai Ba Trung, Hanoi",2.0,nan,nan,36208,Hanoi,Vietnam,6063404,booking
OYO 442 Holiday Hotel,"Tay Ho, Hanoi",2.0,3.1,5 reviews,45642,Hanoi,Vietnam,2734796,booking
SPOT ON 822 Hoa Phuong Do Guest House,"Dong Da, Hanoi",2.0,4.6,3 reviews,35640,Hanoi,Vietnam,6017303,booking
OYO 208 Apec 2,"Ba Dinh, Hanoi",2.0,7.2,146 reviews,60364,Hanoi,Vietnam,5002976,booking
Chikoo Homestay spot-on,"Ba Dinh, Hanoi",2.0,7.0,20 reviews,39293,Hanoi,Vietnam,4520789,booking
SPOT ON 821 Duc Anh Hotel,Hanoi,2.0,5.3,7 reviews,42063,Hanoi,Vietnam,6017380,booking
OYO 205 Vivid Boutique Hometel,Nha Trang,2.0,8.6,225 reviews,66530,Nha Trang,Vietnam,3640808,booking
Hoang Lan Guesthouse,"Cau Giay, Hanoi",2.0,nan,nan,49116,Hanoi,Vietnam,5928034,booking
OYO 449 Thang Nga Hotel,"Long Bien, Hanoi",2.0,8.0,15 reviews,59569,Hanoi,Vietnam,5686155,booking
OYO 276 BH Hotel,"Hoan Kiem, Hanoi",3.0,8.4,197 reviews,65995,Hanoi,Vietnam,5414820,booking
RedDoorz near Lotte Center Hanoi,"Ba Dinh, Hanoi",2.0,7.3,34 reviews,86228,Hanoi,Vietnam,348459,booking
OYO 259 Little Home,"Da Nang City-Centre, Da Nang",2.0,7.5,190 reviews,58858,Hoi An,Vietnam,5352775,booking
OYO 498 Xoro Apartment,"My Khe Beach, Da Nang",2.0,9.0,16 reviews,75308,Hoi An,Vietnam,5756312,booking
OYO 280 Mimosa Hotel Danang,"Han River, Da Nang",3.0,7.8,141 reviews,42360,Hoi An,Vietnam,2031718,booking
OYO 284 Diamond Hotel,"Han River, Da Nang",2.0,8.3,105 reviews,122994,Hoi An,Vietnam,2910820,booking
OYO 236 Hoa Mai Boutique Hotel,"My Khe Beach, Da Nang",2.0,8.6,112 reviews,58258,Hoi An,Vietnam,1726333,booking
OYO 327 Oasis Riverside Hotel Da Nang,"Han River, Da Nang",2.0,7.0,45 reviews,41485,Hoi An,Vietnam,1295323,booking
OYO 266 Golden Gate,"Da Nang City-Centre, Da Nang",2.0,7.4,205 reviews,49083,Hoi An,Vietnam,5403234,booking
OYO 283 Phu Thinh 2 Hotel Da Nang,"My Khe Beach, Da Nang",3.0,8.9,389 reviews,52770,Hoi An,Vietnam,5414520,booking
OYO 805 Pegasus Homestay,"My Khe Beach, Da Nang",2.0,9.2,4 reviews,48262,Hoi An,Vietnam,6030519,booking
OYO 192 Prime Hotel Danang,"My Khe Beach, Da Nang",2.0,7.8,139 reviews,87213,Hoi An,Vietnam,3382809,booking
Seagull House Da Nang,"My Khe Beach, Da Nang",nan,9.1,17 reviews,51916,Hoi An,Vietnam,4767538,booking
OYO 870 Twins Apartment,"Bac My An Beach, Da Nang",nan,8.0,5 reviews,60888,Hoi An,Vietnam,3420438,booking
OYO 609 Home Little Home,"Bac My An Beach, Da Nang",2.0,nan,nan,105539,Hoi An,Vietnam,4034332,booking
SPOT ON 817 Thanh Van,Da Nang,2.0,nan,nan,38562,Hoi An,Vietnam,6030487,booking
OYO 552 Phuong Hong Motel,"Marble Moutain, Da Nang",2.0,8.5,16 reviews,59177,Hoi An,Vietnam,2494280,booking
OYO 489 Suri Apartment,Da Nang,2.0,9.0,20 reviews,49847,Hoi An,Vietnam,5748778,booking
OYO 157 Centre Hotel,"Han River, Da Nang",3.0,8.6,397 reviews,153195,Hoi An,Vietnam,1710638,booking
OYO 532 Lilyhometel CTM,"Cau Giay, Hanoi",2.0,9.0,74 reviews,140154,Hanoi,Vietnam,4659286,booking
OYO 387 Bach Duong Hotel,"Cau Giay, Hanoi",2.0,8.5,106 reviews,66814,Hanoi,Vietnam,1986106,booking
OYO 298 Namu Hotel,"Cau Giay, Hanoi",2.0,7.7,130 reviews,62825,Hanoi,Vietnam,1222897,booking
Laguna 04,"Tay Ho, Hanoi",2.0,8.3,48 reviews,74100,Hanoi,Vietnam,5018997,booking
OYO 196 Sweet Hotel,"Cau Giay, Hanoi",2.0,8.6,160 reviews,82235,Hanoi,Vietnam,4626164,booking
OYO 342 Westlake Lotus Apartments,"Tay Ho, Hanoi",2.0,9.3,44 reviews,89790,Hanoi,Vietnam,5569547,booking
Hanoi Suji Hotel,"Thanh Xuan, Hanoi",3.0,8.8,96 reviews,151309,Hanoi,Vietnam,2743968,booking
OYO 217 Bich Ngoc Motel,"Thanh Xuan, Hanoi",2.0,7.1,99 reviews,45625,Hanoi,Vietnam,5205438,booking
OYO 416 Giao Thông Hotel,"Dong Da, Hanoi",nan,8.2,98 reviews,64334,Hanoi,Vietnam,5192586,booking
Love Hotel,Hanoi,2.0,nan,nan,36918,Hanoi,Vietnam,6016638,booking
RedDoorz near Hung Vuong Nha Trang,"Nha Trang Beach, Nha Trang",3.0,7.1,39 reviews,74536,Nha Trang,Vietnam,2725785,booking
Nhu Huynh Hotel,"District 6, Ho Chi Minh City",3.0,5.7,6 reviews,62646,Ho Chi Minh,Vietnam,5883103,booking
OYO 929 An Phat Hotel,Nha Trang,nan,nan,nan,39780,Nha Trang,Vietnam,5892504,booking
SPOT ON 694 OCEAN Star,"Nha Trang Beach, Nha Trang",2.0,6.5,4 reviews,28351,Nha Trang,Vietnam,3518105,booking
OYO 192 Prime Hotel Danang,"My Khe Beach, Da Nang",2.0,7.8,139 reviews,87213,Da Nang,Vietnam,3382809,booking
RedDoorz near Korean Town,"My Khe Beach, Da Nang",nan,8.5,18 reviews,55864,Da Nang,Vietnam,5384437,booking
RedDoorz near Hoan My Hospital Danang,"Da Nang City-Centre, Da Nang",2.0,7.7,36 reviews,141894,Da Nang,Vietnam,3450044,booking
OYO 283 Phu Thinh 2 Hotel Da Nang,"My Khe Beach, Da Nang",3.0,8.9,389 reviews,52770,Da Nang,Vietnam,5414520,booking
Win Hotel And Apartment,"Tho Quang Beach, Da Nang",2.0,nan,nan,83768,Da Nang,Vietnam,6130172,booking
SPOT ON 817 Thanh Van,Da Nang,2.0,nan,nan,38562,Da Nang,Vietnam,6030487,booking
OYO 266 Golden Gate,"Da Nang City-Centre, Da Nang",2.0,7.4,205 reviews,49083,Da Nang,Vietnam,5403234,booking
OYO 327 Oasis Riverside Hotel Da Nang,"Han River, Da Nang",2.0,7.0,45 reviews,41485,Da Nang,Vietnam,1295323,booking
OYO 242 Thien Thanh Hotel Da Nang,Da Nang,2.0,7.2,119 reviews,38238,Da Nang,Vietnam,2985990,booking
OYO 236 Hoa Mai Boutique Hotel,"My Khe Beach, Da Nang",2.0,8.6,112 reviews,58258,Da Nang,Vietnam,1726333,booking
OYO 784 TN Eden Hotel,"Da Nang Bay, Da Nang",3.0,nan,nan,58453,Da Nang,Vietnam,5490503,booking
OYO 805 Pegasus Homestay,"My Khe Beach, Da Nang",2.0,9.2,4 reviews,48262,Da Nang,Vietnam,6030519,booking
OYO 284 Diamond Hotel,"Han River, Da Nang",2.0,8.3,105 reviews,122994,Da Nang,Vietnam,2910820,booking
OYO 870 Twins Apartment,"Bac My An Beach, Da Nang",nan,8.0,5 reviews,60888,Da Nang,Vietnam,3420438,booking
OYO 498 Xoro Apartment,"My Khe Beach, Da Nang",2.0,9.0,16 reviews,75308,Da Nang,Vietnam,5756312,booking
OYO 259 Little Home,"Da Nang City-Centre, Da Nang",2.0,7.5,190 reviews,58858,Da Nang,Vietnam,5352775,booking
Seagull House Da Nang,"My Khe Beach, Da Nang",nan,9.1,17 reviews,51916,Da Nang,Vietnam,4767538,booking
OYO 552 Phuong Hong Motel,"Marble Moutain, Da Nang",2.0,8.5,16 reviews,59177,Da Nang,Vietnam,2494280,booking
RedDoorz near Nguyen Van Thoai Street,"My Khe Beach, Da Nang",nan,9.3,31 reviews,104525,Da Nang,Vietnam,3781314,booking
SPOT ON 711 Otium Hostel,"Da Nang Bay, Da Nang",nan,8.7,386 reviews,36533,Da Nang,Vietnam,2790416,booking
SPOT ON 683 Minh Phuong,"District 1, Ho Chi Minh City",2.0,8.7,8 reviews,48710,Ho Chi Minh,Vietnam,5795566,booking
OXERAAK Dvn,"Phu Nhuan, Ho Chi Minh City",2.0,5.4,12 reviews,64532,Ho Chi Minh,Vietnam,5187312,booking
SPOT ON 676 Jimmy House,"District 1, Ho Chi Minh City",2.0,7.6,39 reviews,37988,Ho Chi Minh,Vietnam,4296714,booking
SPOT ON 760 Ceo House Homestay,"District 2, Ho Chi Minh City",2.0,9.1,9 reviews,46599,Ho Chi Minh,Vietnam,6010111,booking
SPOT ON 768 Lantern Food & Hostel,"District 1, Ho Chi Minh City",2.0,8.5,172 reviews,48150,Ho Chi Minh,Vietnam,2174881,booking
OYO 542 Hung Phat Hotel,Ho Chi Minh City,3.0,8.0,45 reviews,64830,Ho Chi Minh,Vietnam,5812356,booking
OYO 609 Home Little Home,"Bac My An Beach, Da Nang",2.0,nan,nan,105539,Da Nang,Vietnam,4034332,booking
OYO 157 Centre Hotel,"Han River, Da Nang",3.0,8.6,397 reviews,153195,Da Nang,Vietnam,1710638,booking
RedDoorz near Cau Song Han 2,"Han River, Da Nang",2.0,7.6,61 reviews,62177,Da Nang,Vietnam,292808,booking
OYO 489 Suri Apartment,Da Nang,2.0,9.0,20 reviews,49847,Da Nang,Vietnam,5748778,booking
OYO 316 Tripgo Hotel And Apartment,Nha Trang,2.0,7.2,4 reviews,33772,Nha Trang,Vietnam,5434576,booking
OYO 587 Trang Long,Nha Trang,2.0,8.2,7 reviews,30444,Nha Trang,Vietnam,1589828,booking
Hoang Lan,Nha Trang,1.0,nan,nan,29196,Nha Trang,Vietnam,5935180,booking
OYO 563 Phu Thinh,Nha Trang,2.0,9.3,3 reviews,26434,Nha Trang,Vietnam,340284,booking
OYO 745 Minh Duc Guest House,Nha Trang,3.0,nan,nan,29244,Nha Trang,Vietnam,5545859,booking
RedDoorz near Nha Trang Beach,"Nha Trang Beach, Nha Trang",1.0,7.2,26 reviews,81316,Nha Trang,Vietnam,822802,booking
OYO 519 365 Motel,Nha Trang,2.0,nan,nan,40568,Nha Trang,Vietnam,5765865,booking
SPOT ON 900 Xina Hostel,"Nha Trang Beach, Nha Trang",nan,7.2,5 reviews,85779,Nha Trang,Vietnam,4990820,booking
SPOT ON 820 My Lan Hotel,"Cau Giay, Hanoi",2.0,6.3,6 reviews,47221,Hanoi,Vietnam,4357005,booking
